Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
AUDI A4 allroad quattro,2,4,AMS-7,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HVGAJ02.0AAC,station wagon,6,23,28,25,5,No,349
AUDI A5,2,4,Man-6,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HVGAV02.0AUB,small car,6,23,32,26,6,No,338
AUDI A5,2,4,Man-6,4WD,Gasoline,CA,U2,California LEV-II ULEV,HVGAV02.0AUB,small car,6,23,32,26,6,No,338
AUDI A5,2,4,SemiAuto-8,4WD,Ethanol/Gas,FA,T3B125,Federal Tier 3 Bin 125,HVGAJ02.0AUF,small car,6,15/22,22/30,18/25,5,No,349/359
AUDI A5,2,4,SemiAuto-8,4WD,Ethanol/Gas,CA,U2,California LEV-II ULEV,HVGAJ02.0AUF,small car,6,15/22,22/30,18/25,5,No,349/359
AUDI A5 Cabriolet,2,4,SemiAuto-8,4WD,Ethanol/Gas,FA,T3B125,Federal Tier 3 Bin 125,HVGAJ02.0AUF,small car,6,15/21,21/29,17/24,5,No,358/372
AUDI A5 Cabriolet,2,4,SemiAuto-8,4WD,Ethanol/Gas,CA,U2,California LEV-II ULEV,HVGAJ02.0AUF,small car,6,15/21,21/29,17/24,5,No,358/372
AUDI A6,2,4,AMS-7,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,HVGAV02.0A7C,midsize car,7,24,34,28,6,No,317
AUDI A6,2,4,AMS-7,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,HVGAV02.0A7C,midsize car,7,24,34,28,6,No,317
AUDI A6,2,4,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,HVGAV02.0A7C,midsize car,7,22,31,25,5,No,353
AUDI A6,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,HVGAV02.0A7C,midsize car,7,22,31,25,5,No,353
AUDI A6,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HVGAV03.0AUE,midsize car,6,21,29,24,5,No,376
AUDI A6,3,6,SemiAuto-8,4WD,Gasoline,CA,U2,California LEV-II ULEV,HVGAV03.0AUE,midsize car,6,21,29,24,5,No,376
AUDI A7,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HVGAV03.0AUE,midsize car,6,21,29,24,5,No,376
AUDI A7,3,6,SemiAuto-8,4WD,Gasoline,CA,U2,California LEV-II ULEV,HVGAV03.0AUE,midsize car,6,21,29,24,5,No,376
AUDI A8 L,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HVGAV03.0AUE,large car,6,19,29,22,5,No,397
AUDI A8 L,3,6,SemiAuto-8,4WD,Gasoline,CA,U2,California LEV-II ULEV,HVGAV03.0AUE,large car,6,19,29,22,5,No,397
AUDI A8 L,4,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HVGAV04.0NUA,large car,6,18,29,22,5,No,410
AUDI A8 L,4,8,SemiAuto-8,4WD,Gasoline,CA,U2,California LEV-II ULEV,HVGAV04.0NUA,large car,6,18,29,22,5,No,410
AUDI Q3,2,4,SemiAuto-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HVGAV02.0AUA,small car,6,20,28,23,5,No,391
AUDI Q3,2,4,SemiAuto-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,HVGAV02.0AUA,small car,6,20,28,23,5,No,391
AUDI Q3,2,4,SemiAuto-6,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HVGAV02.0AUA,small car,6,20,28,23,5,No,387
AUDI Q3,2,4,SemiAuto-6,4WD,Gasoline,CA,U2,California LEV-II ULEV,HVGAV02.0AUA,small car,6,20,28,23,5,No,387
